age,relationship,education,race,sex,hours-per-week,income,income
"(15, 20]", Not-in-family, Assoc-acdm, White, Female,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, Assoc-acdm, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Not-in-family, Assoc-acdm, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, Assoc-voc, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, Assoc-voc, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, Asian-Pac-Islander, Female,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, Asian-Pac-Islander, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, Black, Female,"(20, 30]", <=50K,2
"(15, 20]", Not-in-family, HS-grad, Black, Female,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, HS-grad, Black, Male,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, HS-grad, White, Female,"(10, 20]", <=50K,3
"(15, 20]", Not-in-family, HS-grad, White, Female,"(20, 30]", <=50K,15
"(15, 20]", Not-in-family, HS-grad, White, Female,"(30, 40]", <=50K,32
"(15, 20]", Not-in-family, HS-grad, White, Female,"(40, 50]", <=50K,6
"(15, 20]", Not-in-family, HS-grad, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, White, Female,"(80, 90]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, White, Male,"(0, 10]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, HS-grad, White, Male,"(20, 30]", <=50K,11
"(15, 20]", Not-in-family, HS-grad, White, Male,"(30, 40]", <=50K,31
"(15, 20]", Not-in-family, HS-grad, White, Male,"(40, 50]", <=50K,8
"(15, 20]", Not-in-family, HS-grad, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, Some-college, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, Some-college, Black, Male,"(10, 20]", <=50K,2
"(15, 20]", Not-in-family, Some-college, Black, Male,"(40, 50]", <=50K,1
"(15, 20]", Not-in-family, Some-college, Other, Female,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, Some-college, Other, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, Some-college, White, Female,"(0, 10]", <=50K,2
"(15, 20]", Not-in-family, Some-college, White, Female,"(10, 20]", <=50K,13
"(15, 20]", Not-in-family, Some-college, White, Female,"(20, 30]", <=50K,18
"(15, 20]", Not-in-family, Some-college, White, Female,"(30, 40]", <=50K,24
"(15, 20]", Not-in-family, Some-college, White, Female,"(40, 50]", <=50K,4
"(15, 20]", Not-in-family, Some-college, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, Some-college, White, Male,"(10, 20]", <=50K,2
"(15, 20]", Not-in-family, Some-college, White, Male,"(20, 30]", <=50K,10
"(15, 20]", Not-in-family, Some-college, White, Male,"(30, 40]", <=50K,20
"(15, 20]", Not-in-family, Some-college, White, Male,"(40, 50]", <=50K,6
"(15, 20]", Not-in-family, Some-college, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, Some-college, White, Male,"(60, 70]", <=50K,1
"(15, 20]", Not-in-family, Some-college, White, Male,"(70, 80]", <=50K,1
"(15, 20]", Other-relative, 10th, Black, Female,"(10, 20]", <=50K,2
"(15, 20]", Other-relative, 10th, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, 10th, Black, Male,"(10, 20]", <=50K,1
"(15, 20]", Other-relative, 10th, White, Female,"(0, 10]", <=50K,1
"(15, 20]", Other-relative, 10th, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, 10th, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, 10th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Other-relative, 10th, White, Male,"(20, 30]", <=50K,2
"(15, 20]", Other-relative, 10th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Other-relative, 11th, Amer-Indian-Eskimo, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, 11th, Asian-Pac-Islander, Female,"(10, 20]", <=50K,1
"(15, 20]", Other-relative, 11th, Black, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, 11th, Black, Male,"(10, 20]", <=50K,2
"(15, 20]", Other-relative, 11th, Black, Male,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, 11th, White, Female,"(0, 10]", <=50K,1
"(15, 20]", Other-relative, 11th, White, Female,"(10, 20]", <=50K,3
"(15, 20]", Other-relative, 11th, White, Female,"(20, 30]", <=50K,2
"(15, 20]", Other-relative, 11th, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, 11th, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Other-relative, 11th, White, Male,"(0, 10]", <=50K,2
"(15, 20]", Other-relative, 11th, White, Male,"(10, 20]", <=50K,2
"(15, 20]", Other-relative, 11th, White, Male,"(20, 30]", <=50K,4
"(15, 20]", Other-relative, 11th, White, Male,"(30, 40]", <=50K,2
"(15, 20]", Other-relative, 12th, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, 12th, White, Male,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, 7th-8th, White, Male,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, 9th, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Other-relative, Bachelors, Black, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, HS-grad, Asian-Pac-Islander, Male,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, HS-grad, Black, Female,"(30, 40]", <=50K,2
"(15, 20]", Other-relative, HS-grad, Black, Male,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, HS-grad, Black, Male,"(30, 40]", <=50K,3
"(15, 20]", Other-relative, HS-grad, Black, Male,"(40, 50]", <=50K,1
"(15, 20]", Other-relative, HS-grad, Other, Male,"(30, 40]", <=50K,2
"(15, 20]", Other-relative, HS-grad, White, Female,"(0, 10]", <=50K,1
"(15, 20]", Other-relative, HS-grad, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Other-relative, HS-grad, White, Female,"(20, 30]", <=50K,4
"(15, 20]", Other-relative, HS-grad, White, Female,"(30, 40]", <=50K,6
"(15, 20]", Other-relative, HS-grad, White, Male,"(10, 20]", <=50K,4
"(15, 20]", Other-relative, HS-grad, White, Male,"(20, 30]", <=50K,4
"(15, 20]", Other-relative, HS-grad, White, Male,"(30, 40]", <=50K,11
"(15, 20]", Other-relative, HS-grad, White, Male,"(40, 50]", <=50K,2
"(15, 20]", Other-relative, HS-grad, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Other-relative, HS-grad, White, Male,"(60, 70]", <=50K,1
"(15, 20]", Other-relative, Some-college, Asian-Pac-Islander, Male,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, Some-college, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Other-relative, Some-college, Black, Female,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, Some-college, Black, Female,"(30, 40]", <=50K,3
"(15, 20]", Other-relative, Some-college, Black, Male,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, Some-college, Other, Female,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, Some-college, White, Female,"(10, 20]", <=50K,3
"(15, 20]", Other-relative, Some-college, White, Female,"(20, 30]", <=50K,4
"(15, 20]", Other-relative, Some-college, White, Female,"(30, 40]", <=50K,5
"(15, 20]", Other-relative, Some-college, White, Male,"(10, 20]", <=50K,3
"(15, 20]", Other-relative, Some-college, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Other-relative, Some-college, White, Male,"(30, 40]", <=50K,1
"(15, 20]", Other-relative, Some-college, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Own-child, 10th, Amer-Indian-Eskimo, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 10th, Black, Female,"(10, 20]", <=50K,3
"(15, 20]", Own-child, 10th, Black, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, 10th, Black, Male,"(0, 10]", <=50K,1
"(15, 20]", Own-child, 10th, Black, Male,"(10, 20]", <=50K,2
"(15, 20]", Own-child, 10th, Black, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 10th, Other, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 10th, White, Female,"(0, 10]", <=50K,9
"(15, 20]", Own-child, 10th, White, Female,"(10, 20]", <=50K,23
"(15, 20]", Own-child, 10th, White, Female,"(20, 30]", <=50K,10
"(15, 20]", Own-child, 10th, White, Female,"(30, 40]", <=50K,4
"(15, 20]", Own-child, 10th, White, Male,"(0, 10]", <=50K,10
"(15, 20]", Own-child, 10th, White, Male,"(10, 20]", <=50K,25
"(15, 20]", Own-child, 10th, White, Male,"(20, 30]", <=50K,18
"(15, 20]", Own-child, 10th, White, Male,"(30, 40]", <=50K,16
"(15, 20]", Own-child, 11th, Amer-Indian-Eskimo, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 11th, Amer-Indian-Eskimo, Male,"(10, 20]", <=50K,2
"(15, 20]", Own-child, 11th, Asian-Pac-Islander, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, 11th, Black, Female,"(0, 10]", <=50K,3
"(15, 20]", Own-child, 11th, Black, Female,"(10, 20]", <=50K,2
"(15, 20]", Own-child, 11th, Black, Female,"(20, 30]", <=50K,3
"(15, 20]", Own-child, 11th, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 11th, Black, Male,"(0, 10]", <=50K,2
"(15, 20]", Own-child, 11th, Black, Male,"(10, 20]", <=50K,7
"(15, 20]", Own-child, 11th, Black, Male,"(20, 30]", <=50K,1
"(15, 20]", Own-child, 11th, Black, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 11th, Other, Male,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 11th, White, Female,"(0, 10]", <=50K,16
"(15, 20]", Own-child, 11th, White, Female,"(10, 20]", <=50K,68
"(15, 20]", Own-child, 11th, White, Female,"(20, 30]", <=50K,19
"(15, 20]", Own-child, 11th, White, Female,"(30, 40]", <=50K,13
"(15, 20]", Own-child, 11th, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Own-child, 11th, White, Male,"(0, 10]", <=50K,14
"(15, 20]", Own-child, 11th, White, Male,"(10, 20]", <=50K,78
"(15, 20]", Own-child, 11th, White, Male,"(20, 30]", <=50K,24
"(15, 20]", Own-child, 11th, White, Male,"(30, 40]", <=50K,18
"(15, 20]", Own-child, 11th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Own-child, 11th, White, Male,"(50, 60]", <=50K,4
"(15, 20]", Own-child, 11th, White, Male,"(60, 70]", <=50K,1
"(15, 20]", Own-child, 12th, Amer-Indian-Eskimo, Male,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 12th, Black, Female,"(10, 20]", <=50K,2
"(15, 20]", Own-child, 12th, Black, Female,"(50, 60]", <=50K,1
"(15, 20]", Own-child, 12th, Black, Male,"(10, 20]", <=50K,4
"(15, 20]", Own-child, 12th, Other, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 12th, White, Female,"(0, 10]", <=50K,4
"(15, 20]", Own-child, 12th, White, Female,"(10, 20]", <=50K,22
"(15, 20]", Own-child, 12th, White, Female,"(20, 30]", <=50K,12
"(15, 20]", Own-child, 12th, White, Female,"(30, 40]", <=50K,4
"(15, 20]", Own-child, 12th, White, Male,"(0, 10]", <=50K,4
"(15, 20]", Own-child, 12th, White, Male,"(10, 20]", <=50K,29
"(15, 20]", Own-child, 12th, White, Male,"(20, 30]", <=50K,7
"(15, 20]", Own-child, 12th, White, Male,"(30, 40]", <=50K,13
"(15, 20]", Own-child, 12th, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Own-child, 5th-6th, White, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 7th-8th, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 7th-8th, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Own-child, 7th-8th, White, Male,"(0, 10]", <=50K,1
"(15, 20]", Own-child, 7th-8th, White, Male,"(30, 40]", <=50K,4
"(15, 20]", Own-child, 7th-8th, White, Male,"(70, 80]", <=50K,1
"(15, 20]", Own-child, 9th, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 9th, Black, Male,"(0, 10]", <=50K,1
"(15, 20]", Own-child, 9th, Black, Male,"(10, 20]", <=50K,1
"(15, 20]", Own-child, 9th, Black, Male,"(20, 30]", <=50K,2
"(15, 20]", Own-child, 9th, Black, Male,"(30, 40]", <=50K,3
"(15, 20]", Own-child, 9th, Other, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, 9th, White, Female,"(10, 20]", <=50K,3
"(15, 20]", Own-child, 9th, White, Female,"(30, 40]", <=50K,4
"(15, 20]", Own-child, 9th, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Own-child, 9th, White, Male,"(10, 20]", <=50K,4
"(15, 20]", Own-child, 9th, White, Male,"(20, 30]", <=50K,3
"(15, 20]", Own-child, 9th, White, Male,"(30, 40]", <=50K,3
"(15, 20]", Own-child, 9th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Own-child, Assoc-acdm, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, Assoc-acdm, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Assoc-acdm, White, Female,"(30, 40]", <=50K,2
"(15, 20]", Own-child, Assoc-acdm, White, Male,"(10, 20]", <=50K,2
"(15, 20]", Own-child, Assoc-voc, Asian-Pac-Islander, Male,"(10, 20]", <=50K,1
"(15, 20]", Own-child, Assoc-voc, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, Assoc-voc, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, Assoc-voc, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Assoc-voc, White, Female,"(30, 40]", <=50K,3
"(15, 20]", Own-child, Assoc-voc, White, Male,"(30, 40]", <=50K,3
"(15, 20]", Own-child, Bachelors, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, HS-grad, Amer-Indian-Eskimo, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, HS-grad, Amer-Indian-Eskimo, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, HS-grad, Amer-Indian-Eskimo, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, HS-grad, Amer-Indian-Eskimo, Male,"(40, 50]", <=50K,1
"(15, 20]", Own-child, HS-grad, Asian-Pac-Islander, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, HS-grad, Asian-Pac-Islander, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, HS-grad, Asian-Pac-Islander, Female,"(30, 40]", <=50K,2
"(15, 20]", Own-child, HS-grad, Asian-Pac-Islander, Male,"(30, 40]", <=50K,2
"(15, 20]", Own-child, HS-grad, Black, Female,"(10, 20]", <=50K,5
"(15, 20]", Own-child, HS-grad, Black, Female,"(30, 40]", <=50K,7
"(15, 20]", Own-child, HS-grad, Black, Male,"(10, 20]", <=50K,2
"(15, 20]", Own-child, HS-grad, Black, Male,"(20, 30]", <=50K,6
"(15, 20]", Own-child, HS-grad, Black, Male,"(30, 40]", <=50K,11
"(15, 20]", Own-child, HS-grad, Black, Male,"(50, 60]", <=50K,1
"(15, 20]", Own-child, HS-grad, White, Female,"(0, 10]", <=50K,5
"(15, 20]", Own-child, HS-grad, White, Female,"(10, 20]", <=50K,39
"(15, 20]", Own-child, HS-grad, White, Female,"(20, 30]", <=50K,37
"(15, 20]", Own-child, HS-grad, White, Female,"(30, 40]", <=50K,47
"(15, 20]", Own-child, HS-grad, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Own-child, HS-grad, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Own-child, HS-grad, White, Male,"(0, 10]", <=50K,5
"(15, 20]", Own-child, HS-grad, White, Male,"(10, 20]", <=50K,29
"(15, 20]", Own-child, HS-grad, White, Male,"(20, 30]", <=50K,37
"(15, 20]", Own-child, HS-grad, White, Male,"(30, 40]", <=50K,87
"(15, 20]", Own-child, HS-grad, White, Male,"(40, 50]", <=50K,18
"(15, 20]", Own-child, HS-grad, White, Male,"(50, 60]", <=50K,5
"(15, 20]", Own-child, HS-grad, White, Male,"(60, 70]", <=50K,1
"(15, 20]", Own-child, HS-grad, White, Male,"(70, 80]", <=50K,1
"(15, 20]", Own-child, Masters, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Own-child, Masters, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Preschool, White, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, Some-college, Amer-Indian-Eskimo, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Some-college, Amer-Indian-Eskimo, Male,"(30, 40]", <=50K,1
"(15, 20]", Own-child, Some-college, Asian-Pac-Islander, Female,"(10, 20]", <=50K,3
"(15, 20]", Own-child, Some-college, Asian-Pac-Islander, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Some-college, Asian-Pac-Islander, Male,"(10, 20]", <=50K,1
"(15, 20]", Own-child, Some-college, Black, Female,"(10, 20]", <=50K,7
"(15, 20]", Own-child, Some-college, Black, Female,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Some-college, Black, Female,"(30, 40]", <=50K,2
"(15, 20]", Own-child, Some-college, Black, Male,"(10, 20]", <=50K,2
"(15, 20]", Own-child, Some-college, Black, Male,"(20, 30]", <=50K,4
"(15, 20]", Own-child, Some-college, Black, Male,"(30, 40]", <=50K,4
"(15, 20]", Own-child, Some-college, Black, Male,"(40, 50]", <=50K,1
"(15, 20]", Own-child, Some-college, Other, Female,"(10, 20]", <=50K,1
"(15, 20]", Own-child, Some-college, Other, Female,"(30, 40]", <=50K,1
"(15, 20]", Own-child, Some-college, Other, Male,"(20, 30]", <=50K,1
"(15, 20]", Own-child, Some-college, White, Female,"(0, 10]", <=50K,26
"(15, 20]", Own-child, Some-college, White, Female,"(10, 20]", <=50K,111
"(15, 20]", Own-child, Some-college, White, Female,"(20, 30]", <=50K,68
"(15, 20]", Own-child, Some-college, White, Female,"(30, 40]", <=50K,46
"(15, 20]", Own-child, Some-college, White, Female,"(40, 50]", <=50K,2
"(15, 20]", Own-child, Some-college, White, Male,"(0, 10]", <=50K,15
"(15, 20]", Own-child, Some-college, White, Male,"(10, 20]", <=50K,71
"(15, 20]", Own-child, Some-college, White, Male,"(20, 30]", <=50K,43
"(15, 20]", Own-child, Some-college, White, Male,"(30, 40]", <=50K,62
"(15, 20]", Own-child, Some-college, White, Male,"(40, 50]", <=50K,7
"(15, 20]", Own-child, Some-college, White, Male,"(50, 60]", <=50K,4
"(15, 20]", Own-child, Some-college, White, Male,"(60, 70]", <=50K,1
"(15, 20]", Unmarried, 10th, Amer-Indian-Eskimo, Female,"(30, 40]", <=50K,1
"(15, 20]", Unmarried, 10th, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Unmarried, 10th, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, 10th, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Unmarried, 10th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Unmarried, 11th, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, 11th, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Unmarried, 11th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, 9th, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, 9th, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, 9th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, Assoc-voc, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Unmarried, HS-grad, Asian-Pac-Islander, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, HS-grad, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Unmarried, HS-grad, Black, Female,"(20, 30]", <=50K,2
"(15, 20]", Unmarried, HS-grad, Black, Female,"(30, 40]", <=50K,2
"(15, 20]", Unmarried, HS-grad, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Unmarried, HS-grad, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Unmarried, HS-grad, White, Female,"(40, 50]", <=50K,1
"(15, 20]", Unmarried, HS-grad, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Unmarried, HS-grad, White, Male,"(30, 40]", <=50K,4
"(15, 20]", Unmarried, Some-college, Black, Female,"(20, 30]", <=50K,2
"(15, 20]", Unmarried, Some-college, Black, Female,"(30, 40]", <=50K,2
"(15, 20]", Unmarried, Some-college, White, Female,"(20, 30]", <=50K,2
"(15, 20]", Unmarried, Some-college, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Unmarried, Some-college, White, Male,"(30, 40]", <=50K,2
"(15, 20]", Wife, HS-grad, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Wife, HS-grad, White, Female,"(10, 20]", <=50K,1
"(15, 20]", Wife, HS-grad, White, Female,"(20, 30]", <=50K,1
"(15, 20]", Wife, HS-grad, White, Female,"(30, 40]", <=50K,5
"(20, 25]", Husband, 10th, White, Male,"(20, 30]", <=50K,1
"(20, 25]", Husband, 10th, White, Male,"(30, 40]", <=50K,9
"(20, 25]", Husband, 10th, White, Male,"(40, 50]", <=50K,2
"(20, 25]", Husband, 10th, White, Male,"(60, 70]", <=50K,1
"(20, 25]", Husband, 11th, Other, Male,"(30, 40]", <=50K,1
"(20, 25]", Husband, 11th, White, Male,"(20, 30]", <=50K,1
"(20, 25]", Husband, 11th, White, Male,"(30, 40]", <=50K,12
"(20, 25]", Husband, 11th, White, Male,"(40, 50]", <=50K,2
"(20, 25]", Husband, 11th, White, Male,"(40, 50]", >50K,1
"(20, 25]", Husband, 11th, White, Male,"(50, 60]", <=50K,2
"(20, 25]", Husband, 11th, White, Male,"(50, 60]", >50K,1
"(20, 25]", Husband, 11th, White, Male,"(60, 70]", <=50K,1
"(20, 25]", Husband, 11th, White, Male,"(60, 70]", >50K,1
"(20, 25]", Husband, 12th, White, Male,"(30, 40]", <=50K,5
"(20, 25]", Husband, 12th, White, Male,"(30, 40]", >50K,1
"(20, 25]", Husband, 7th-8th, White, Male,"(30, 40]", <=50K,5
"(20, 25]", Husband, 7th-8th, White, Male,"(30, 40]", >50K,1
"(20, 25]", Husband, 7th-8th, White, Male,"(40, 50]", <=50K,1
"(20, 25]", Husband, 7th-8th, White, Male,"(50, 60]", <=50K,1
"(20, 25]", Husband, 9th, White, Male,"(30, 40]", <=50K,1
"(20, 25]", Husband, 9th, White, Male,"(40, 50]", <=50K,2
"(20, 25]", Husband, Assoc-acdm, Asian-Pac-Islander, Male,"(0, 10]", <=50K,1
"(20, 25]", Husband, Assoc-acdm, White, Male,"(20, 30]", <=50K,2
"(20, 25]", Husband, Assoc-acdm, White, Male,"(30, 40]", <=50K,2
"(20, 25]", Husband, Assoc-acdm, White, Male,"(40, 50]", <=50K,2
"(20, 25]", Husband, Assoc-voc, White, Male,"(10, 20]", <=50K,1
"(20, 25]", Husband, Assoc-voc, White, Male,"(20, 30]", <=50K,1
"(20, 25]", Husband, Assoc-voc, White, Male,"(30, 40]", <=50K,12
"(20, 25]", Husband, Assoc-voc, White, Male,"(40, 50]", <=50K,6
"(20, 25]", Husband, Assoc-voc, White, Male,"(50, 60]", >50K,1
"(20, 25]", Husband, Assoc-voc, White, Male,"(70, 80]", <=50K,1
"(20, 25]", Husband, Bachelors, Black, Male,"(20, 30]", <=50K,1
"(20, 25]", Husband, Bachelors, White, Male,"(10, 20]", <=50K,3
"(20, 25]", Husband, Bachelors, White, Male,"(20, 30]", <=50K,2
"(20, 25]", Husband, Bachelors, White, Male,"(30, 40]", <=50K,16
"(20, 25]", Husband, Bachelors, White, Male,"(30, 40]", >50K,6
"(20, 25]", Husband, Bachelors, White, Male,"(40, 50]", <=50K,9
"(20, 25]", Husband, Bachelors, White, Male,"(40, 50]", >50K,6
"(20, 25]", Husband, Bachelors, White, Male,"(50, 60]", <=50K,3
"(20, 25]", Husband, Bachelors, White, Male,"(50, 60]", >50K,2
